Gene_name_canonical,graph_localization_annotation
AAAS,ER
AACS,cytosol
AAGAB,cytosol
AAK1,plasma_membrane
AAK1,unclassified
AAMDC,cytosol
AAMP,cytosol
AAR2,cytosol
AARS1,cytosol
AARS2,mitochondrion
AARSD1,cytosol
AASDH,cytosol
AASDHPPT,cytosol
AASS,mitochondrion
AATF,nucleolus
ABAT,mitochondrion
ABCA2,early_endosome
ABCA3,lysosome
ABCB1,recycling_endosome
ABCB10,mitochondrion
ABCB7,mitochondrion
ABCB8,mitochondrion
ABCC1,plasma_membrane
ABCC10,lysosome
ABCC4,plasma_membrane
ABCC5,early_endosome
ABCD1,peroxisome
ABCD3,peroxisome
ABCD4,ER
ABCE1,unclassified
ABCE1,unclassified
ABCF1,stress_granule
ABCF2,translation
ABCF3,stress_granule
ABHD10,mitochondrion
ABHD11,mitochondrion
ABHD12,ER
ABHD14B,cytosol
ABHD16A,ER
ABHD17A,recycling_endosome
ABHD17B,plasma_membrane
ABHD18,mitochondrion
ABHD5,unclassified
ABHD6,ER
ABI1,actin_cytoskeleton
ABI2,actin_cytoskeleton
ABITRAM,cytosol
ABL1,plasma_membrane
ABL2,unclassified
ABLIM1,actin_cytoskeleton
ABR,cytosol
ABRACL,cytosol
ABRAXAS1,unclassified
ABRAXAS2,cytosol
ABT1,nucleolus
ABTB2,cytosol
ABTB3,cytosol
ACAA1,peroxisome
ACAA2,mitochondrion
ACACA,cytosol
ACAD10,mitochondrion
ACAD11,peroxisome
ACAD8,mitochondrion
ACAD9,mitochondrion
ACADM,mitochondrion
ACADM,mitochondrion
ACADS,mitochondrion
ACADSB,mitochondrion
ACADVL,mitochondrion
ACAP2,cytosol
ACAT1,mitochondrion
ACAT2,cytosol
ACBD3,trans-Golgi
ACBD5,peroxisome
ACBD6,cytosol
ACBD7,cytosol
ACD,nucleus
ACIN1,nucleus
ACLY,cytosol
ACO1,cytosol
ACO2,mitochondrion
ACO2,mitochondrion
ACOT13,mitochondrion
ACOT2,mitochondrion
ACOT7,cytosol
ACOT8,peroxisome
ACOT9,mitochondrion
ACOX1,peroxisome
ACOX3,peroxisome
ACP1,cytosol
ACP1,cytosol
ACP2,lysosome
ACP6,mitochondrion
ACSF2,mitochondrion
ACSF3,mitochondrion
ACSL1,ER
ACSL3,ER
ACSL4,early_endosome
ACSS1,mitochondrion
ACSS2,cytosol
ACSS3,mitochondrion
ACTC1,actin_cytoskeleton
ACTG1,actin_cytoskeleton
ACTL6A,nucleus
ACTMAP,cytosol
ACTN1,plasma_membrane
ACTN4,actin_cytoskeleton
ACTR10,cytosol
ACTR1A,unclassified
ACTR1B,cytosol
ACTR2,actin_cytoskeleton
ACTR3,actin_cytoskeleton
ACTR3B,actin_cytoskeleton
ACTR5,unclassified
ACTR6,nucleus
ACTR8,unclassified
ACVR2A,plasma_membrane
ACY1,cytosol
ACYP1,cytosol
ACYP2,cytosol
ADA,cytosol
ADAL,cytosol
ADAM10,plasma_membrane
ADAM11,plasma_membrane
ADAM15,ER
ADAM17,ER
ADAM22,plasma_membrane
ADAM9,recycling_endosome
ADAMTS1,early_endosome
ADAR,nucleus
ADARB1,unclassified
ADAT1,cytosol
ADAT2,cytosol
ADAT3,cytosol
ADCK1,mitochondrion
ADCY3,plasma_membrane
ADCY6,plasma_membrane
ADCY9,plasma_membrane
ADD1,actin_cytoskeleton
ADD1,actin_cytoskeleton
ADD2,actin_cytoskeleton
ADD3,actin_cytoskeleton
ADGRE5,recycling_endosome
ADGRL1,plasma_membrane
ADGRL2,plasma_membrane
ADGRL3,plasma_membrane
ADH5,cytosol
ADI1,cytosol
ADIPOR1,plasma_membrane
ADISSP,cytosol
ADK,cytosol
ADNP,nucleus
ADNP2,nucleus
ADO,mitochondrion
ADPGK,ER
ADPRS,mitochondrion
ADRM1,proteasome
ADSL,cytosol
ADSS2,cytosol
AEBP2,unclassified
AF-4,nucleus
AFAP1,actin_cytoskeleton
AFDN,plasma_membrane
AFDN,plasma_membrane
AFDN,plasma_membrane
AFF4,nucleus
AFG1L,mitochondrion
AFG2A,proteasome
AFG2B,nucleus
AFG3L2,mitochondrion
AFTPH,early_endosome
AGA,lysosome
AGAP1,unclassified
AGAP1,unclassified
AGAP3,unclassified
AGFG1,actin_cytoskeleton
AGFG2,unclassified
AGGF1,cytosol
AGK,mitochondrion
AGL,cytosol
AGO1,stress_granule
AGO2,stress_granule
AGO3,stress_granule
AGPAT1,ER
AGPAT2,ER
AGPAT3,ER
AGPAT4,ER
AGPAT5,mitochondrion
AGPS,peroxisome
AGRN,ER
AGTPBP1,unclassified
AHCTF1,nucleus
AHCY,cytosol
AHCYL1,cytosol
AHCYL2,plasma_membrane
AHDC1,nucleus
AHI1,nucleus
AHNAK,plasma_membrane
AHNAK2,plasma_membrane
AHR,cytosol
AHSA1,cytosol
AIDA,plasma_membrane
AIF1L,cytosol
AIFM1,mitochondrion
AIG1,unclassified
AIMP1,unclassified
AIMP2,ER
AIP,cytosol
AIP,cytosol
AIRIM,translation
AK1,cytosol
AK2,mitochondrion
AK3,mitochondrion
AK4,mitochondrion
AK6,cytosol
AKAP1,mitochondrion
AKAP10,unclassified
AKAP11,ER
AKAP12,actin_cytoskeleton
AKAP13,14-3-3_scaffold
AKAP17A,nucleus
AKAP5,plasma_membrane
AKAP5,plasma_membrane
AKAP7,cytosol
AKAP8,nucleus
AKAP8L,nucleus
AKAP9,centrosome
AKIRIN2,proteasome
AKR1A1,cytosol
AKR1B1,cytosol
AKR7A2,mitochondrion
AKT1,cytosol
AKT1S1,lysosome
AKT2,cytosol
AKT3,cytosol
AKTIP,cytosol
ALAS1,mitochondrion
ALCAM,plasma_membrane
ALDH16A1,cytosol
ALDH18A1,mitochondrion
ALDH1A2,cytosol
ALDH1A3,cytosol
ALDH1B1,mitochondrion
ALDH1L1,mitochondrion
ALDH1L2,mitochondrion
ALDH2,mitochondrion
ALDH3A2,ER
ALDH4A1,mitochondrion
ALDH5A1,mitochondrion
ALDH6A1,mitochondrion
ALDH7A1,mitochondrion
ALDH7A1,mitochondrion
ALDH9A1,mitochondrion
ALDOA,cytosol
ALDOA,cytosol
ALDOC,cytosol
ALG1,ER
ALG10,ER
ALG11,ER
ALG12,ER
ALG13,ER
ALG14,ER
ALG2,ER
ALG3,translation
ALG5,ER
ALG6,ER
ALG8,ER
ALG9,ER
ALKBH1,mitochondrion
ALKBH1,mitochondrion
ALKBH2,nucleus
ALKBH3,cytosol
ALKBH4,cytosol
ALKBH5,nucleolus
ALKBH6,cytosol
ALKBH7,mitochondrion
ALKBH8,cytosol
ALMS1,centrosome
ALPL,unclassified
ALS2,cytosol
ALX1,nucleus
ALX4,unclassified
ALYREF,nucleus
ALYREF,nucleus
AMBRA1,cytosol
AMD1,cytosol
AMER1,plasma_membrane
AMFR,ER
AMMECR1,unclassified
AMMECR1L,unclassified
AMN1,cytosol
AMOT,actin_cytoskeleton
AMOTL1,actin_cytoskeleton
AMOTL2,14-3-3_scaffold
AMPD2,cytosol
AMPH,cytosol
AMZ2,unclassified
ANAPC1,unclassified
ANAPC10,unclassified
ANAPC11,unclassified
ANAPC13,unclassified
ANAPC16,nucleus
ANAPC2,unclassified
ANAPC4,nucleus
ANAPC5,cytosol
ANAPC7,nucleus
ANGEL1,trans-Golgi
ANGEL2,mitochondrion
ANK1,unclassified
ANK2,unclassified
ANK3,cytosol
ANK3,cytosol
ANKFY1,early_endosome
ANKHD1,stress_granule
ANKHD1-EIF4EBP3,unclassified
ANKLE2,ER
ANKMY2,cytosol
ANKRD11,nucleus
ANKRD13A,cytosol
ANKRD13C,cytosol
ANKRD16,unclassified
ANKRD17,stress_granule
ANKRD26,nucleolus
ANKRD27,trans-Golgi
ANKRD28,cytosol
ANKRD39,cytosol
ANKRD40,Golgi
ANKRD44,cytosol
ANKRD46,ER
ANKRD49,cytosol
ANKRD50,early_endosome
ANKRD52,cytosol
ANKRD54,cytosol
ANKS1A,cytosol
ANKS1A,cytosol
ANKS3,cytosol
ANKS6,unclassified
ANKZF1,translation
ANLN,plasma_membrane
ANO10,ER
ANO6,recycling_endosome
ANP32A,cytosol
ANP32B,cytosol
ANP32E,cytosol
ANTKMT,mitochondrion
ANTXR1,plasma_membrane
ANXA1,cytosol
ANXA11,cytosol
ANXA2,actin_cytoskeleton
ANXA3,cytosol
ANXA4,cytosol
ANXA5,cytosol
ANXA6,cytosol
ANXA6,cytosol
ANXA7,cytosol
AP1AR,trans-Golgi
AP1B1,early_endosome
AP1G1,early_endosome
AP1G2,early_endosome
AP1M1,early_endosome
AP1S1,early_endosome
AP1S2,early_endosome
AP1S3,early_endosome
AP2A1,actin_cytoskeleton
AP2A2,actin_cytoskeleton
AP2A2,actin_cytoskeleton
AP2B1,plasma_membrane
AP2M1,plasma_membrane
AP2S1,plasma_membrane
AP3B1,lysosome
AP3D1,early_endosome
AP3D1,early_endosome
AP3M1,lysosome
AP3M2,cytosol
AP3S1,early_endosome
AP4B1,early_endosome
AP4E1,early_endosome
AP4M1,unclassified
AP4S1,early_endosome
AP5B1,lysosome
AP5M1,lysosome
AP5S1,lysosome
AP5Z1,14-3-3_scaffold
APAF1,cytosol
APBA2,cytosol
APBA3,cytosol
APBB1,cytosol
APBB2,recycling_endosome
APC,actin_cytoskeleton
APEH,cytosol
APEX1,unclassified
APEX2,cytosol
APH1A,ER
API5,nucleus
API5,nucleus
APIP,cytosol
APLP2,early_endosome
APMAP,ER
APOB,early_endosome
APOBEC3C,translation
APOC3,early_endosome
APOL2,ER
APOO,mitochondrion
APOOL,mitochondrion
APP,early_endosome
APP,early_endosome
APPBP2,cytosol
APPL1,cytosol
APPL2,cytosol
APRT,cytosol
APTX,nucleus
AQR,nucleus
ARAF,14-3-3_scaffold
ARAP1,cytosol
ARCN1,ERGIC
ARF1,cytosol
ARF4,ERGIC
ARF5,Golgi
ARF6,plasma_membrane
ARFGAP1,trans-Golgi
ARFGAP2,unclassified
ARFGAP3,Golgi
ARFGEF1,cytosol
ARFGEF2,early_endosome
ARFGEF3,cytosol
ARFIP1,trans-Golgi
ARFIP2,trans-Golgi
ARFRP1,Golgi
ARG2,mitochondrion
ARGLU1,nucleus
ARHGAP1,cytosol
ARHGAP10,recycling_endosome
ARHGAP11A,nucleus
ARHGAP12,actin_cytoskeleton
ARHGAP17,cytosol
ARHGAP18,cytosol
ARHGAP19,unclassified
ARHGAP21,actin_cytoskeleton
ARHGAP26,plasma_membrane
ARHGAP27,cytosol
ARHGAP32,14-3-3_scaffold
ARHGAP35,plasma_membrane
ARHGAP5,plasma_membrane
ARHGAP8,unclassified
ARHGDIA,cytosol
ARHGEF1,unclassified
ARHGEF10,cytosol
